libxtst 1.2.4-1
libxv 1.0.12-1
libxxf86vm 1.1.5-1
libyaml 0.2.5-2
libzip 1.10.1-1
licenses 20231011-1
lightdm 1:1.32.0-4
lightdm-gtk-greeter 1:2.0.8-3
lilv 0.24.20-2
linux 6.5.7.arch1-1
linux-api-headers 6.4-1
linux-firmware 20230804.7be2766d-2
linux-firmware-whence 20230804.7be2766d-2
linux-headers 6.5.7.arch1-1
llvm-libs 16.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lsb-release 2.0.r53.a86f885-1
lsof 4.98.0-2
lua 5.4.6-2
luajit 2.1.1696795921-1
luit 20230201-1
lv2 1.18.10-1
lvm2 2.03.22-2
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
magma-cuda 2.7.1-9
mailcap 2.1.54-1
make 4.4.1-2
mbedtls 3.4.1-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 1:23.2.1-2
mesa-utils 9.0.0-3
milou 5.27.8-2
minizip 1:1.3-1
mkinitcpio 36-1
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
modemmanager 1.22.0-1
modemmanager-qt5 5.111.0-1
mpfr 4.2.1-1
mpg123 1.32.3-1
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mutter 45.0+r49+g8d3d8b86e5-1
nano 7.2-1
nccl 2.18.3-1
ncurses 6.4_20230520-1
ndctl 76.1-1
neofetch 7.1.0-2
neovim 0.9.4-2
nettle 3.9.1-1
networkmanager 1.44.2-3
networkmanager-qt5 5.111.0-1
nfs-utils 2.6.3-1
nfsidmap 2.6.3-1
node-gyp 9.4.0-1
nodejs 20.8.1-1
nodejs-nopt 7.2.0-1
noto-fonts 1:23.10.1-1
npm 10.2.1-1
npth 1.6-4
nspr 4.35-1
nss 3.94-1
numactl 2.0.16-1
nvidia-utils 535.113.01-2
obs-studio 29.1.3-1
obsidian 1.4.16-1
ocl-icd 2.3.2-1
onednn 3.3-1
onetbb 2021.10.0-1
onevpl 2023.3.1-1
oniguruma 6.9.9-1
openal 1.23.1-1
opencl-nvidia 535.113.01-2
opencore-amr 0.1.6-1
opencv 4.8.1-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmp 16.0.6-1
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.5p1-1
openssl 3.1.3-1
opus 1.4-1
orc 0.4.34-1
oxygen 5.27.8-2
oxygen-sounds 5.27.8-1
p11-kit 0.25.0-2
pacman 6.0.2-8
pacman-mirrorlist 20231001-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
parted 3.6-1
pass 1.7.4-3
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.38.0-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-3
pipewire 1:0.3.83-1
pipewire-alsa 1:0.3.83-1
pipewire-audio 1:0.3.83-1
pipewire-jack 1:0.3.83-1
pipewire-pulse 1:0.3.83-1
pixman 0.42.2-1
pkgconf 1.8.1-1
plasma-browser-integration 5.27.8-2
plasma-desktop 5.27.8-2
plasma-disks 5.27.8-1
plasma-firewall 5.27.8-1
plasma-framework5 5.111.0-1
plasma-integration 5.27.8-2
plasma-meta 5.27-3
plasma-nm 5.27.8-2
plasma-pa 5.27.8-2
plasma-systemmonitor 5.27.8-2
plasma-thunderbolt 5.27.8-1
plasma-vault 5.27.8-2
plasma-wayland-session 5.27.8-2
plasma-welcome 5.27.8-3
plasma-workspace 5.27.8-2
plasma-workspace-wallpapers 5.27.8-1
polkit 123-1
polkit-kde-agent 5.27.8-2
polkit-qt5 0.114.0-2
polybar 3.6.3-3
poppler 23.10.0-1
poppler-qt5 23.10.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powerdevil 5.27.8-2
ppp 2.5.0-1
prison5 5.111.0-1
procps-ng 4.0.4-2
protobuf 24.3-1
protonmail-bridge-bin 3.5.4-1
psmisc 23.6-1
purpose5 5.111.0-1
pybind11 2.11.1-1
python 3.11.5-2
python-annotated-types 0.5.0-1
python-argcomplete 2.0.0-2
python-attrs 22.2.0-3
python-autocommand 2.2.2-4
